Detection Date,Detection Date,Latitude,Longitude,Lab Status,Detection Num,labels,Detection Normal,Notes,year,month,Num
2019-12-08,2019-12-08,48.980994,-122.688503,Positive ID,737401.0,1,-0.5681164044954143,"One dead wasp seen in Blaine, and suspect flying nearby",2019,12,55
2019-10-30,2019-10-30,48.971949,-122.700941,Positive ID,737362.0,1,-0.6843417822863387,Hornet specimen sent to WSU,2019,10,27
2020-01-15,2020-01-15,48.9392,-122.6613,Unverified,737439.0,3,-0.454871164596565,"Massive loss of bees, decapitated. No hornet specimens were located.",2020,1,68
2019-09-19,2019-09-19,49.149394,-123.943134,Positive ID,737321.0,1,-0.8065274358614131,"This was the colony that was found and destroyed in Nanaimo, BC Sep 18, 2019. There were ~150 live hornets and ~600 unhatched eggs & larvae",2019,9,139
2019-08-31,2019-08-31,48.723779,-122.354431,Unverified,737302.0,3,-0.8631500558108377,"I was cleaning my gutters when I heard a snapping noise coming from the wall of my house. It was sitting on a dirt clump that looked to have been starting a nest. I backed away, and waited till evening to spray hornet killer on it. Next day knocked down",2019,8,253
2019-10-15,2019-10-15,48.986176,-122.69745,Unverified,737347.0,3,-0.7290438506674635,"We found about a dozen of these bees in our backfield last October while we were storing bee boxes, Sorry no pictures",2019,10,117
2020-02-29,2020-02-29,48.729596,-122.48003500000002,Negative ID,737484.0,0,-0.3207649594531907,"I’m not sure what this is, but it was the biggest looking wasp/hornet I’ve ever seen, at least an inch long. Sorry for the poor quality picture, I went inside to get a glass to catch it and it flew away.",2020,2,203
2020-03-01,2020-03-01,48.186024,-122.34468,Unverified,737485.0,3,-0.31778482156111576,Reported to Washington Invasive Species Council via voicemail,2020,3,61
2019-09-07,2019-09-07,47.395721,-123.10518799999998,Negative ID,737309.0,0,-0.8422890905663128,"slow moving, i have this in the freezer still i think. I saw 3 of them 98588",2019,9,76
2020-03-19,2020-03-19,47.840041,-122.323562,Negative ID,737503.0,0,-0.26414233950376603,It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.,2020,3,116
2019-07-17,2019-07-17,47.487496,-118.958142,Unverified,737257.0,3,-0.997256260954212, ,2019,7,1
2020-03-16,2020-03-16,48.419995,-122.33213,Unverified,737500.0,3,-0.27308275317999103,An enormous bee-like insect buzzed around the window sill in my south-facing upstairs bedroom window. It was much longer than any bee or hornet/wasp I have ever seen. The sheer length of it was unlike anything I've seen before. It appeared fuzzy like a b,2020,3,254
2019-08-30,2019-08-30,47.635058,-122.057332,Negative ID,737301.0,0,-0.8661301937029127,"Probably not an Asain Hornet but still a pretty mean looking one that I can't I.D. Second sighting that day, both found while cutting down dead Hemlock trees.",2019,8,158
2020-03-20,2020-03-20,48.93401,-122.48545,Unverified,737504.0,3,-0.2611622016116911,It wasn't huge but definitely  had a yellow head and yellow mid section,2020,3,71
2020-03-23,2020-03-23,48.74361,-122.43905,Negative ID,737507.0,0,-0.2522217879354661,"Was on the garden hose. It stung (maybe just a bite but there was only one puncture hole) the palm of my hand. Approximately 1.5 inches in length, dark dark brown with thin yellow markings.",2020,3,189
2020-03-27,2020-03-27,47.936452,-122.137477,Unverified,737511.0,3,-0.2403012363671662,Digging garden area and uncovered a bee,2020,3,39
2016-06-20,2016-06-20,47.887101,-121.972109,Unverified,736135.0,3,-4.340970975862343,"The large size caught my attention.  I took a number of photos at the time, but haven't located them other than one I sent to another person.  It is still on a text message on a phone I do not use anymore.  Just looked it up and it appears to be what you",2016,6,254
2019-08-02,2019-08-02,46.81518300000001,-122.987709,Unverified,737273.0,3,-0.9495740546810122,These wasps visited my garden daily throughout the summer. They hunted particularly on my flowering Oregano plant.  They typically were there from mid morning to early evening. I’ve seem at least 2-3 there at the same time.,2019,8,223
2020-03-31,2020-03-31,46.609918,-120.563107,Negative ID,737515.0,0,-0.22838068479886625,"Not sure if this is the target pest, but I figured we would send the picture in for examination. The head came off when we removed the pest from the cowling on an engine.",2020,3,170
2019-07-23,2019-07-23,48.006763,-122.462053,Negative ID,737263.0,0,-0.979375433601762,not sure if this is one. but in case it is. Saw it at Bayview farm and garden nursery on Whidbey Island,2019,7,103
2018-07-01,2018-07-01,47.665711,-122.326871,Unverified,736876.0,3,-2.1326887978347804,"We've been noticing big, red hornet/wasps that live under the stone path in our backyard last summer. We didn't have an ID on them until now. No current photo unfortunately.",2018,7,173
2016-08-25,2016-08-25,48.85785900000001,-121.844931,Unverified,736201.0,3,-4.144281874985393,"We were at Skyline divide in 2016, I got the time and date from pictures taken during the hike. I didn’t put 2 and 2 together until today, up until then I thought I just got chased by the biggest, meanest hornets in the world that day, but hey, it’s",2016,8,249
2019-09-14,2019-09-14,48.64683,-122.369771,Unverified,737316.0,3,-0.8214281253217879,"Observed flying around my porch. Hovered in place like a humming bird while facing me. I tried, but was unable to snap a photo.",2019,9,127
2020-04-05,2020-04-05,46.240112,-122.915848,Unverified,737520.0,3,-0.21347999533849132,"I am fairly confident this is what chased me around my pasture yesterday.  It is as huge, fast, and incessant.  I even smacked it hard with my cell phone, which stunned it, then it came back at me.  I was out checking my raspberry rows.  It didn’t stop",2020,4,252
2020-04-06,2020-04-06,47.526522,-122.324858,Unverified,737521.0,3,-0.2104998574464164, ,2020,4,1
2020-04-06,2020-04-06,47.526507,-122.324826,Unverified,737521.0,3,-0.2104998574464164,"Unknown if this is our invasive species, but its a growing colony right above the sidewalk on the concrete support wall for the Highway 99 overpass over Cloverdale, on the northwest corner.  Definitely a hazard to pedestrians regardless of species.  Didn",2020,4,254
2020-03-24,2020-03-24,48.077702,-123.170761,Unverified,737508.0,3,-0.24924165004339116,It stung me through a paper towel,2020,3,33
2020-04-06,2020-04-06,47.156028000000006,-123.013366,Negative ID,737521.0,0,-0.2104998574464164,We live on the coast and are familiar with the bees and wasps in our area. We are outside most of the day until night. We kept remarking about a strange huge bee buzzing around that was orange and we’ve never seen before. I have no picture but will try,2020,4,252
2020-04-06,2020-04-06,47.370776,-120.138766,Unverified,737521.0,3,-0.2104998574464164,Not sure but this this was huge and never seen it before around my pond,2020,4,71
2020-04-07,2020-04-07,47.62986,-120.68945,Negative ID,737522.0,0,-0.20751971955434134,"I live in Newcastle, WA and found a dead one on my front porch. I will leave it there if you want to confirm",2020,4,108
2019-06-16,2019-06-16,47.766765,-122.552735,Negative ID,737226.0,0,-1.0896405356085364,"Saw this big bee on my back deck, tried to look it up but I couldn't find a match.  Very large and in my entire life I have not seen one like this in Washington state. Thank you.",2019,6,178
2020-04-07,2020-04-07,47.179097,-122.235314,Unverified,737522.0,3,-0.20751971955434134,"My husband and I were walking in the Orting Trail between Sumner, Puyallup and Orting when an insect buzzed past my head. It was larger than bees or flies I had seen before. I joked that “whatever it was it just darkened the sky for a bit”. I was jok",2020,4,250
2018-07-20,2018-07-20,47.701216,-120.195674,Unverified,736895.0,3,-2.076066177885356,Orondo State Park - near the apple orchards.,2018,7,44
2020-04-05,2020-04-05,47.296898,-119.500329,Unverified,737520.0,3,-0.21347999533849132,I had arrived at the Ephrata gun ranger's 25 yd handgun bay. While I was offloading my gear and equipment I noticed a large orange headed beeline wasp flying around my vehicle. It lingered around my vehicle and myself. Realizing it could be the Asian hor,2020,4,254
2019-07-28,2019-07-28,45.710268,-120.696372,Unverified,737268.0,3,-0.9644747441413872,It was a very large orange hornet about 2 inches. We were sitting down grilling under a tree near John Day dam when a large orange hornet fell onto the ground trying to fly bit it couldn't. I killed it in fear for my young children running around. It was,2019,7,254
2019-12-22,2019-12-22,47.77475,-122.213725,Unverified,737415.0,3,-0.5263944740063646,"2 of these things were landing in front of my house, and went into burrows into loose dirt in front of the house.  They were about 1.5 to 2” long with orange/yellow heads.  I squashed them both, and flattened out the mount of dirt next to burrow.  I ju",2019,12,252
2020-04-07,2020-04-07,47.32299,-122.310432,Unverified,737522.0,3,-0.20751971955434134,"Last summer, my grandson & friend said they saw a bee that was a good 2 inches long, in our back yard. We teased them bigtime, but now I'm thinking maybe he did. Yesterday there was a big fat bee out back, but it was about one inch",2020,4,231
2020-04-07,2020-04-07,47.637224,-122.700911,Unverified,737522.0,3,-0.20751971955434134,"4/07/20. We prefer not to risk going close to eat, but my husband thought it was a mouse and put a trap at first, until he saw it was a big giant bee today and left immediately. We were advised to call you.",2020,4,206
2019-09-18,2019-09-18,46.900618,-122.274347,Unverified,737320.0,3,-0.8095075737534879,I am not sure if this is this particular hornet but it is the biggest thing we have ever seen.   It was at our cabin in Eatonville last September.   I kept a picture because I wanted to try and find out what it was and have been unsuccessful.  It was abo,2019,9,254
2019-09-07,2019-09-07,47.64322,-122.31986,Unverified,737309.0,3,-0.8422890905663128,"I don’t remember exact date but I definitely saw this hornet around late summer/early autumn. I didn’t get a photo of it unfortunately, but I am absolutely certain this is what I saw. I didn’t kill it because I unfortunately didn’t know at the ti",2019,9,246
2018-06-22,2018-06-22,47.318978,-119.557481,Unverified,736867.0,3,-2.159510038863455,I've seen two in Ephrata between 2017-2018,2018,6,42
2020-04-07,2020-04-07,47.708791,-117.472206,Negative ID,737522.0,0,-0.20751971955434134,"was in my house in Spokane, WA",2020,4,30
2019-09-01,2019-09-01,47.222441,-122.397369,Unverified,737303.0,3,-0.8601699179187627,It was a big long  wasp with golden yellow stripes. They would stick a barb from inside there abdomen into this one tree and get stuck and die. I saw about 4 get stuck in the same tree.,2019,9,185
2019-07-26,2019-07-26,47.541072,-120.282015,Unverified,737266.0,3,-0.9704350199255369,We were able to kill one of them and later saw at least 2 more that same day.,2019,7,77
2020-04-07,2020-04-07,48.006687,-121.982158,Unverified,737522.0,3,-0.20751971955434134,"I was in my back yard in Snohomish. A very large insect flew past me, at a distance of about 7 feet. Since it was in the air and moving rapidly I was unable to take a photo. It may not have been one of these wasps, but the size startled me.",2020,4,240
2015-05-03,2015-05-03,46.730802,-117.163984,Unverified,735721.0,3,-5.574748063181387,"Interesting that this comes up now.  About 5 years ago, I was talking to someone on the West side of Holland Library in Pullman.  I believe I saw one of these wasps getting nectar out of vine maple blossoms.  It was VERY large and was bright orange with",2015,5,253
2020-04-08,2020-04-08,47.941026,-122.235926,Unverified,737523.0,3,-0.2045395816622664,"100% caught one in my house last week, Everett, WA. I was shocked at the size, bigest wasp I had ever seen. Threw it outside alive.",2020,4,131
2019-07-28,2019-07-28,47.73284,-122.17959,Unverified,737268.0,3,-0.9644747441413872,"The following is a copy of an email that I sent to Dr. Chris Looney (CLooney@agr.wa.gov) on December 21 at 1:45 PM    Hello Dr. Looney,  I saw the article on KOMO about the Asian giant hornet that was found in Blaine. This reminded me of a similar sighti",2019,7,254
2019-07-13,2019-07-13,47.221882,-119.99443,Negative ID,737253.0,0,-1.0091768125225118,"We weren’t sure what these were, but they are huge and we had never seen anything like them. We saw them in Crescent Bar by the swimming pools.",2019,7,143
2019-09-12,2019-09-12,47.328,-122.58004,Negative ID,737314.0,0,-0.8273884011059379,"Hello! This 'wasp' type insect bit my husband and I last Sept.  I grew up in the PNW, am a longtime gardener and have never seen anything like this.  I don't know if this is the hornet that you are referring to but it looks very familiar.  It was huge an",2019,9,254
2019-04-20,2019-04-20,47.8062,-122.1048,Unverified,737169.0,3,-1.2595083954568105,We were at flower world shopping for fruit trees and there was a hornet about three inches large up in the rafters of the far east building next to the fruit trees.  I did not take a photo as I don't usually carry phone with me but there were others ther,2019,4,254
2019-01-20,2019-01-20,46.491849,-117.085127,Negative ID,737079.0,0,-1.527720805743559,"This is the cicada killer, either Sphecius grandis or Sphecius convallis.",2019,1,73
2020-04-08,2020-04-08,47.288518,-122.252099,Unverified,737523.0,3,-0.2045395816622664,I spotted two hornets on my patio umbrella. I was not able to get a picture of them,2020,4,83
2020-04-08,2020-04-08,47.62986,-120.68945,Unverified,737523.0,3,-0.2045395816622664,Yes I saw a large bee looking bug flying around my Japanese maple yesterday Thought it was a large wasp,2020,4,103
2020-04-07,2020-04-07,47.473632,-122.106425,Unverified,737522.0,3,-0.20751971955434134, ,2020,4,1
2020-04-03,2020-04-03,47.44005900000001,-122.220459,Unverified,737518.0,3,-0.2194402711226413,I didn’t capture a picture but it was absolutely massive. I’ve never seen a bee that large in WA and I’ve lived here for 29 years!,2020,4,130
2019-07-08,2019-07-08,47.530211,-119.492792,Unverified,737248.0,3,-1.0240775019828867,Was driving by soap lake and got hit in the head by one.,2019,7,56
2020-04-07,2020-04-07,47.568036,-122.639598,Unverified,737522.0,3,-0.20751971955434134,Biggest hornet we have ever seen. Saw two of them,2020,4,49
2020-04-06,2020-04-06,48.548358,-122.31711,Negative ID,737521.0,0,-0.2104998574464164,I saw this trying to start a nest on the eve of my garage door. I hit it 3 times with a broom until it finally left. I have not seen it since then. It was 1 1/2 to 2 inches in length.,2020,4,183
2018-08-16,2018-08-16,46.500337,-117.774936,Unverified,736922.0,3,-1.9956024547993312,I can’t find a picture but these are definitely non native hornets. I think they’re European hornets. 2018 is the first year I started seeing them. Some bee keepers store hives on our property. I might have a specimen and will send a picture if I fin,2018,8,250
2020-04-05,2020-04-05,48.731977,-122.691497,Unverified,737520.0,3,-0.21347999533849132,No photo.  Was large hornet with orange/yellow head,2020,4,51
2018-07-20,2018-07-20,46.729429,-120.556863,Negative ID,736895.0,0,-2.076066177885356,"I killed this in my back yard a couple years ago. Didn’t think anything of it until I just read your article. Not sure if it’s a Asian giant hornet, but figure I would share.",2018,7,174
2020-04-08,2020-04-08,47.513367,-122.389528,Unverified,737523.0,3,-0.2045395816622664,Several huge wasps flying around our rooftop deck area. Bigger than usual as we had a nest last year to compare too.,2020,4,116
2019-08-08,2019-08-08,46.535196,-117.084754,Negative ID,737279.0,0,-0.9316932273285624,It was the only one located and was put into a pickle jar - the hand holding the jar is an adult females hand,2019,8,109
2020-04-09,2020-04-09,46.713962,-117.17318600000002,Unverified,737524.0,3,-0.20155944377019144,It was very large and distinctive. I am allergic to bees so my first instinct was to get away not take a picture unfortunately. I have never seen such a large bee.,2020,4,163
2019-08-24,2019-08-24,47.721485,-122.054518,Unverified,737295.0,3,-0.8840110210553626,"I think I had two of these in my yard this last summer. I do not recall the exact date or time, just late summer on a weekend getting the yard ready for fall. I couldn't figure out what it was and didn't look like a mud wasp or anything I had seen before",2019,8,254
2020-04-09,2020-04-09,47.749228,-122.338696,Unverified,737524.0,3,-0.20155944377019144, ,2020,4,1
2020-04-09,2020-04-09,47.770075,-122.264719,Unverified,737524.0,3,-0.20155944377019144,Over the last 2 Summers I have notice a large hornet nesting in the ground where a garden was located.  They look similar to the Asian Hornet and do not seem aggressive.  These ground nest are next to a home and would prefer to have them erradicated if p,2020,4,254
2020-04-09,2020-04-09,47.67887,-122.20664,Unverified,737524.0,3,-0.20155944377019144,I saw similar bees to this pictures yesterday when I was outside in my yard.,2020,4,76
2019-06-20,2019-06-20,47.351682,-122.088907,Unverified,737230.0,3,-1.0777199840402365,Saw a few flying around my house at separate times. They were huge so I looked them up. . Meant to call last year but got distracted.,2019,6,133
2020-04-09,2020-04-09,46.612154,-123.95825,Unverified,737524.0,3,-0.20155944377019144, ,2020,4,1
